Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
9826,4788,0,830,0,247,15,23.823,31.591,0,0.258,0,0.003,0.01,0,0.131,0.052,0.048,0.024,0,0.05,0,0,0.001
31,46,0.014,46,0,5,1,1.294,1.38,0,0.006,0,0,0.001,0,0.128,0.022,0.018,0.022,0,0.111,0.022,0.029,0.026
9270,3627,0,139,0,222,9,19.185,34.519,0,0.385,0,0.004,0.015,0,0.173,0.108,0.097,0.039,0,0.056,0.001,0.001,0.002
229,162,0.008,70,0,27,11,10.495,5.3,0,0.271,0.004,0.024,0.048,0,0.254,0.048,0.043,0.038,0,0.13,0.018,0.017,0.012
7432,2962,0,86,0,223,10,21.419,37.589,0,0.376,0,0.006,0.019,0,0.178,0.107,0.095,0.041,0,0.069,0.001,0.001,0.003
3649,1649,0.001,124,0,32,9,9.516,3.539,0,0.54,0.002,0.004,0.015,0,0.182,0.105,0.101,0.031,0,0.072,0.002,0.002,0.002
5257,2187,0.001,82,0,223,10,24.427,42.224,0,0.473,0.001,0.01,0.027,0,0.192,0.103,0.093,0.043,0,0.094,0.001,0.002,0.003
5833,2794,0,170,0,47,12,12.874,5.341,0,0.399,0.001,0.003,0.011,0,0.134,0.08,0.077,0.024,0,0.045,0.001,0.001,0.001
6293,2527,0,136,0,33,9,9.248,3.239,0,0.474,0.001,0.003,0.012,0,0.174,0.112,0.106,0.028,0,0.057,0.001,0.001,0.002
6086,3031,0,403,0,43,11,11.711,4.657,0,0.479,0,0.002,0.011,0,0.164,0.081,0.075,0.029,0,0.08,0,0.001,0.002
8432,3832,0,204,0,51,11,12.334,5.08,0,0.408,0.001,0.002,0.009,0,0.138,0.085,0.081,0.024,0,0.04,0,0.001,0.001
7087,2832,0,86,0,223,10,22.039,38.274,0,0.391,0,0.007,0.02,0,0.173,0.105,0.093,0.041,0,0.072,0.001,0.001,0.003
