Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
21,21,0.05,18,0,7,2,2.166,1.806,0,0.092,0,0.016,0.024,0,0.213,0.066,0.074,0.054,0.05,0.2,0.1,0.1,0.051
188,117,0.013,53,0,15,5,5.619,2.707,0,0.265,0.003,0.014,0.037,0,0.204,0.078,0.065,0.049,0,0.181,0.025,0.027,0.022
7731,4051,0,654,0,37,12,12.145,3.85,0,0.254,0,0.002,0.008,0,0.164,0.073,0.069,0.025,0,0.042,0,0,0.001
1936,928,0.002,165,0,33,11,12.124,5.49,0,0.319,0.002,0.009,0.024,0,0.116,0.07,0.064,0.025,0,0.059,0.004,0.004,0.004
2847,1350,0.001,255,0,36,9,9.22,3.459,0,0.209,0.001,0.004,0.013,0,0.151,0.088,0.075,0.036,0,0.05,0.002,0.003,0.003
12583,6249,0,398,0,32,11,10.94,3.246,0,0.242,0,0.001,0.007,0,0.175,0.09,0.087,0.023,0,0.026,0,0,0.001
1915,970,0.002,84,0,25,10,9.997,3.145,0,0.379,0.003,0.007,0.021,0,0.167,0.091,0.085,0.033,0,0.058,0.003,0.004,0.003
7222,3350,0,329,0,36,9,9.319,2.909,0,0.278,0,0.002,0.011,0,0.183,0.104,0.098,0.029,0,0.052,0.001,0.001,0.002
27705,12620,0,954,0,240,12,15.292,18.608,0,0.261,0,0.001,0.005,0,0.132,0.069,0.066,0.019,0,0.02,0,0,0
16450,7099,0,1167,0,33,10,9.878,3.144,0,0.295,0,0.001,0.007,0,0.183,0.092,0.084,0.037,0,0.052,0,0,0.001
2664,1215,0.001,62,0,27,11,10.961,3.845,0,0.28,0.002,0.007,0.021,0,0.16,0.094,0.089,0.025,0,0.131,0.002,0.003,0.006
1200,561,0.003,59,0,23,7,7.687,2.756,0,0.355,0.005,0.009,0.025,0,0.227,0.119,0.111,0.039,0,0.091,0.007,0.007,0.007
755,417,0.004,72,0,36,11,11.682,5.133,0,0.294,0.008,0.019,0.033,0,0.124,0.073,0.068,0.029,0,0.045,0.007,0.008,0.005
262,177,0.008,92,0,24,8,8.515,4.307,0,0.232,0.003,0.015,0.031,0,0.106,0.056,0.044,0.028,0,0.073,0.017,0.016,0.008
487,268,0.006,122,0,16,6,6.363,2.377,0,0.205,0.003,0.009,0.025,0,0.173,0.087,0.072,0.044,0,0.104,0.011,0.013,0.011
697,397,0.004,83,0,35,11,11.892,6.127,0,0.248,0.006,0.018,0.033,0,0.117,0.073,0.062,0.031,0,0.06,0.007,0.008,0.005
449,278,0.005,89,0,30,11,10.945,5.254,0,0.143,0.003,0.014,0.022,0,0.095,0.043,0.039,0.025,0,0.032,0.01,0.011,0.005
2112,1028,0.002,133,0,28,10,9.657,3.302,0,0.313,0.002,0.006,0.021,0,0.179,0.095,0.088,0.034,0,0.069,0.003,0.004,0.004
3710,1669,0.001,162,0,34,8,8.572,2.892,0,0.339,0.001,0.003,0.016,0,0.198,0.111,0.106,0.032,0,0.102,0.002,0.002,0.004
832,413,0.004,52,0,24,10,10.079,3.875,0,0.194,0.006,0.017,0.027,0,0.141,0.086,0.08,0.03,0,0.087,0.007,0.009,0.009
348,199,0.008,89,0,25,8,8.025,4.565,0,0.174,0.002,0.01,0.023,0,0.156,0.037,0.039,0.023,0,0.085,0.015,0.017,0.011
